iter	Logloss
0	0.692000403
11	0.6907403274
2	0.6896739366
3	0.6886511037
4	0.687702598
5	0.6867153398
6	0.6857643539
7	0.6846820747
8	0.6837434121
9	0.6828307912
10	0.6818877108
11	0.6809892733
12	0.68023515
13	0.6794153026
14	0.6786306424
15	0.6779052734
16	0.6772136192
17	0.6766058253
18	0.6759153336
19	0.6752460782
20	0.6745703125
21	0.6740022011
22	0.6734498233
23	0.6730690414
24	0.6725099981
25	0.6720279948
26	0.6716973586
27	0.6711611793
28	0.6706620474
29	0.6702305773
30	0.6697887215
31	0.6693010603
32	0.6687787543
33	0.6683158172
34	0.6678731089
35	0.6674968998
36	0.6670614769
37	0.6666837178
38	0.6662863498
39	0.6659117684
40	0.665445111
41	0.6650590588
42	0.6647500465
43	0.6644628906
44	0.6640239025
45	0.663688151
46	0.6633019438
47	0.663015253
48	0.6627242219
49	0.6623609561
50	0.6621473524
51	0.6617886595
52	0.6614245412
53	0.6611202567
54	0.6608588325
55	0.6604929315
56	0.660211201
57	0.6599965898
58	0.6597167194
59	0.659375465
60	0.6591126457
61	0.6589305091
62	0.6586483135
63	0.6583761161
64	0.6581425936
65	0.6579434834
66	0.6576313709
67	0.6574110243
68	0.6570883712
69	0.6568500434
70	0.6566613188
71	0.6564135355
72	0.6561456783
73	0.6558317832
74	0.6555109902
75	0.6552937438
76	0.6550594463
77	0.6548402623
78	0.6546112351
79	0.6543105159
80	0.6541466704
81	0.653859127
82	0.6536356802
83	0.6534201389
84	0.6532666791
85	0.6532412574
86	0.6530576482
87	0.6528483073
88	0.6525068204
89	0.6523353795
90	0.6520797681
91	0.6518075707
92	0.6514479477
93	0.6511422681
94	0.6509645492
95	0.6506884766
96	0.6504545666
97	0.6502222842
98	0.6500831241
99	0.6497695778
100	0.6496213108
101	0.6494609918
102	0.6491921658
103	0.6489385696
104	0.6487855748
105	0.648547402
106	0.6483018663
107	0.6480481926
108	0.6479508076
109	0.6477936275
110	0.6475929284
111	0.6473848664
112	0.647070545
113	0.6469579303
114	0.6466931734
115	0.6465048751
116	0.6463030909
117	0.6461569165
118	0.6459733848
119	0.645797061
120	0.6456454613
121	0.6454215882
122	0.6452251132
123	0.6450551835
124	0.6449013749
125	0.6446350291
126	0.6444015067
127	0.644242854
128	0.6440513393
129	0.6438730004
130	0.6436816406
131	0.643359375
132	0.6431773158
133	0.6429559617
134	0.6426123434
135	0.6425815352
136	0.6424025763
137	0.6422421022
138	0.641992885
139	0.6417768787
140	0.6416000124
141	0.6414663938
142	0.6412920077
143	0.6411048332
144	0.6409636967
145	0.6407413349
146	0.640546255
147	0.6403507099
148	0.6402310035
149	0.6399493118
150	0.6397685702
151	0.6395258247
152	0.6393646143
153	0.6391947622
154	0.639015067
155	0.638850989
156	0.6386498248
157	0.6384321522
158	0.6383171348
159	0.6380633448
160	0.637781033
161	0.6375899833
162	0.6374046689
163	0.6372255162
164	0.6369787791
165	0.6367350648
166	0.6366210937
167	0.6364020647
168	0.6361752077
169	0.6359122334
170	0.6357583085
171	0.6355458674
172	0.6354003131
173	0.6352446832
174	0.6350399151
175	0.6348519655
176	0.6347020709
177	0.6345869761
178	0.6343568638
179	0.6341996063
180	0.6339573258
181	0.6337420945
182	0.6336108011
183	0.6334267268
184	0.633210488
185	0.6329967293
186	0.6327983553
187	0.6325964937
188	0.6324162946
189	0.6322356693
190	0.6320398531
191	0.6318322173
192	0.6316656203
193	0.6315520368
194	0.6313062686
195	0.631144477
196	0.6310023717
197	0.6308248078
198	0.630676347
199	0.6305589658
200	0.6303551277
201	0.6301746962
202	0.6300758774
203	0.6298649864
204	0.6297410559
205	0.6296356104
206	0.6294734313
207	0.6292199901
208	0.6290894717
209	0.6288891602
210	0.6287698413
211	0.6286156452
212	0.6285253131
213	0.6283027964
214	0.6281420123
215	0.6279508851
216	0.6277504573
217	0.627562624
218	0.6272699653
219	0.627093719
220	0.6269192166
221	0.626726113
222	0.6265223524
223	0.6263556393
224	0.6261241707
225	0.6259968688
226	0.6257635014
227	0.625593223
228	0.6253838821
229	0.6252786303
230	0.6251282707
231	0.6249741521
232	0.6247705466
233	0.6246707589
234	0.6245594231
235	0.6243389214
236	0.6241957698
237	0.6240433175
238	0.6237748016
239	0.6236080109
240	0.6235012091
241	0.6233187624
242	0.6231473602
243	0.6229307726
244	0.6227481709
245	0.6226335798
246	0.6224991862
247	0.6223596385
248	0.6222368707
249	0.6221107701
250	0.6219656421
251	0.6218476407
252	0.6216855779
253	0.6215034412
254	0.6212815445
255	0.6211066158
256	0.6209311446
257	0.6207596261
258	0.6206327505
259	0.6204498
260	0.620285567
261	0.6201699684
262	0.6200684369
263	0.6198883541
264	0.6197253999
265	0.6195865885
266	0.6194193328
267	0.6192936198
268	0.6191112506
269	0.6189229911
270	0.6188309539
271	0.6185953776
272	0.6183195375
273	0.6181015935
274	0.6179472811
275	0.6178061446
276	0.617706357
277	0.6175028677
278	0.6172815135
279	0.6171761068
280	0.6169750202
281	0.6168113684
282	0.6166142733
283	0.6164522492
284	0.616274104
285	0.6160241505
286	0.6158914233
287	0.6157097129
288	0.6155380394
289	0.6153462922
290	0.6151994978
291	0.6149861654
292	0.6148082527
293	0.6146277824
294	0.6144940864
295	0.6143028429
296	0.6141819739
297	0.614046999
298	0.6138695902
299	0.6137320188
300	0.61349559
301	0.6133862692
302	0.6131220161
303	0.6129248047
304	0.6128611731
305	0.6126607065
306	0.6125308857
307	0.612339216
308	0.6121897089
309	0.6120244683
310	0.6117833504
311	0.6116140408
312	0.611452598
313	0.6113390532
314	0.6111699761
315	0.610929052
316	0.6106489103
317	0.6105240885
318	0.6103410606
319	0.6101084294
320	0.6100294906
321	0.6098906017
322	0.6097526817
323	0.6096068173
324	0.6094847858
325	0.60933648
326	0.6091894144
327	0.6090026662
328	0.6088181269
329	0.6086041357
330	0.6084151011
331	0.608254317
332	0.6081320917
333	0.6080015346
334	0.6078399368
335	0.6076629929
336	0.6075066654
337	0.607343285
338	0.6071918015
339	0.6070538814
340	0.6068916636
341	0.6066963511
342	0.6065244063
343	0.6063605996
344	0.6062300425
345	0.6060079908
346	0.6058417426
347	0.6056592184
348	0.6054811508
349	0.6053583054
350	0.605187872
351	0.6051166837
352	0.6049739583
353	0.6047906591
354	0.604692034
355	0.6045665923
356	0.6044034443
357	0.6041747272
358	0.6039696491
359	0.6036938089
360	0.6035188802
361	0.6033383324
362	0.6031664652
363	0.603015563
364	0.6028669085
365	0.6027437919
366	0.6026689608
367	0.6025824653
368	0.6024948847
369	0.6023625837
370	0.6022127279
371	0.6019882347
372	0.6018784102
373	0.6016705032
374	0.601468719
375	0.6012918527
376	0.6011972191
377	0.6010629805
378	0.6009127759
379	0.6006708829
380	0.6004712302
381	0.6002845207
382	0.6001773313
383	0.600070607
384	0.5999022275
385	0.5997604322
386	0.5995889137
387	0.5994402204
388	0.5993113684
389	0.5991302781
390	0.5990169271
391	0.5987749953
392	0.598636959
393	0.5985090371
394	0.5984006076
395	0.5981220548
396	0.5979459635
397	0.5978314112
398	0.5977352276
399	0.5976085457
400	0.5974782211
401	0.5973553757
402	0.5972288876
403	0.5971405707
404	0.5969787016
405	0.5967703683
406	0.5966753085
407	0.5965432013
408	0.5964265175
409	0.5962747241
410	0.5960897585
411	0.5959418403
412	0.5958130658
413	0.5957004898
414	0.5955183144
415	0.5953697762
416	0.5952592541
417	0.5950485956
418	0.5948624674
419	0.5947209821
420	0.5945609732
421	0.5944401042
422	0.5942689732
423	0.5940767609
424	0.5939391509
425	0.5938512215
426	0.5936931501
427	0.5935023717
428	0.5933579799
429	0.5931925843
430	0.5930433485
431	0.5928972129
432	0.5927115885
433	0.5925740172
434	0.5924354771
435	0.5923190259
436	0.5921768431
437	0.5920148965
438	0.5917673844
439	0.5916643028
440	0.5914686802
441	0.5913309927
442	0.5910720874
443	0.5909423441
444	0.5908431765
445	0.5907102555
446	0.5905724129
447	0.5904862274
448	0.5903307137
449	0.5900948661
450	0.5898407273
451	0.5896233646
452	0.5895025344
453	0.5893726749
454	0.5892054967
455	0.5890638176
456	0.5888802471
457	0.5887296937
458	0.588582318
459	0.5884505208
460	0.588273577
461	0.5880606709
462	0.5879553029
463	0.5878017268
464	0.5876354012
465	0.5875375124
466	0.5873651026
467	0.5871828497
468	0.5870498512
469	0.5869210379
470	0.5867735848
471	0.5866053215
472	0.5865126256
473	0.5863895089
474	0.5862410869
475	0.5861224268
476	0.5859115746
477	0.5857370722
478	0.5855489676
479	0.585398608
480	0.5853073847
481	0.5852315073
482	0.5850566561
483	0.5848497179
484	0.5847099377
485	0.5845753503
486	0.5844192941
487	0.5842456442
488	0.5841055928
489	0.5839242699
490	0.583843006
491	0.5836814856
492	0.5835243056
493	0.5834310283
494	0.5833498806
495	0.583234902
496	0.5831105066
497	0.5829402282
498	0.5827938988
499	0.5826345874
500	0.5825017051
501	0.582402615
502	0.5822555106
503	0.5821664962
504	0.5820220657
505	0.5818025716
506	0.5816671704
507	0.5815042938
508	0.5812414357
509	0.5810529049
510	0.5809342835
511	0.5807686942
512	0.5806212023
513	0.5804568917
514	0.5803186229
515	0.5801674107
516	0.5800772724
517	0.5799738421
518	0.5798285203
519	0.5797384983
520	0.579569925
521	0.5793805029
522	0.5791572111
523	0.5790211899
524	0.5788721866
525	0.5786971029
526	0.5785270182
527	0.5784017702
528	0.5782976035
529	0.5781667752
530	0.5780709015
531	0.5779550316
532	0.5777277871
533	0.5775711496
534	0.5774351671
535	0.577245745
536	0.5771696739
537	0.5770362878
538	0.5768708922
539	0.5767609515
