iter	Passed	Remaining
0	237	237595
1	3250	1621926
2	3259	1083346
3	3264	812757
4	3267	650261
5	3271	542023
6	3277	464889
7	3282	407001
8	3286	361873
9	3291	325813
10	3294	296222
11	3307	272325
12	3312	251480
13	3315	233521
14	3319	217982
15	3322	204361
16	3326	192322
17	3329	181634
18	3331	172035
19	3334	163387
20	3337	155581
21	3339	148464
22	3342	141975
23	3343	135977
24	3346	130495
25	3348	125449
26	3350	120734
27	3352	116393
28	3355	112341
29	3357	108569
30	3360	105039
31	3363	101736
32	3365	98624
33	3368	95701
34	3371	92949
35	3373	90336
36	3376	87870
37	3378	85536
38	3381	83318
39	3383	81210
40	3386	79207
41	3388	77294
42	3391	75478
43	3393	73742
44	3396	72082
45	3399	70497
46	3401	68977
47	3404	67531
48	3407	66135
49	3410	64794
50	3412	63503
51	3415	62262
52	3418	61075
53	3420	59926
54	3423	58816
55	3425	57745
56	3428	56719
57	3431	55725
58	3433	54761
59	3435	53830
60	3438	52930
61	3441	52060
62	3443	51214
63	3446	50399
64	3448	49605
65	3451	48837
66	3453	48094
67	3456	47372
68	3458	46670
69	3461	45988
70	3464	45324
71	3466	44680
72	3471	44089
73	3474	43478
74	3476	42881
75	3479	42304
76	3482	41740
77	3484	41189
78	3487	40653
79	3489	40130
80	3492	39624
81	3495	39127
82	3497	38641
83	3500	38172
84	3503	37709
85	3504	37245
86	3507	36804
87	3509	36369
88	3512	35950
89	3514	35539
90	3517	35136
91	3520	34741
92	3522	34353
93	3524	33973
94	3527	33603
95	3529	33239
96	3532	32883
97	3534	32535
98	3537	32195
99	3540	31861
100	3542	31531
101	3544	31209
102	3547	30894
103	3550	30585
104	3552	30283
105	3555	29984
106	3557	29692
107	3560	29406
108	3563	29125
109	3565	28848
110	3567	28575
111	3570	28307
112	3572	28044
113	3575	27786
114	3577	27532
115	3580	27284
116	3582	27039
117	3585	26798
118	3588	26563
119	3590	26331
120	3593	26102
121	3595	25877
122	3598	25654
123	3601	25442
124	3603	25227
125	3606	25017
126	3609	24811
127	3611	24606
128	3614	24407
129	3617	24208
130	3620	24013
131	3622	23820
132	3625	23630
133	3627	23444
134	3630	23259
135	3632	23074
136	3635	22898
137	3637	22722
138	3640	22548
139	3642	22377
140	3645	22208
141	3648	22045
142	3651	21885
143	3655	21728
144	3658	21572
145	3661	21419
146	3664	21265
147	3667	21112
148	3670	20961
149	3672	20810
150	3675	20663
151	3677	20516
152	3680	20373
153	3682	20230
154	3685	20090
155	3687	19950
156	3690	19814
157	3692	19678
158	3695	19544
159	3697	19411
160	3699	19280
161	3702	19153
162	3705	19026
163	3707	18900
164	3710	18775
165	3712	18651
166	3715	18530
167	3717	18410
168	3721	18301
169	3724	18183
170	3727	18068
171	3729	17954
172	3732	17841
